Date time,Air temperature (°C),Relative humidity (%),10 m wind speed (km/h),Wind direction (°)
24/12/2021 21:00,30.8,16.3,8,150
24/12/2021 22:00,28.5,19.4,9,148
24/12/2021 23:00,26.7,22.0,9,145
25/12/2021 00:00,26.0,23.4,9,131
25/12/2021 01:00,24.8,25.0,10,122
25/12/2021 02:00,23.8,26.7,10,123
25/12/2021 03:00,22.5,32.7,10,121
25/12/2021 04:00,21.6,38.4,9,119
25/12/2021 05:00,20.7,44.9,9,117
25/12/2021 06:00,20.6,46.4,9,113
25/12/2021 07:00,22.2,42.7,10,111
25/12/2021 08:00,25.5,35.7,14,98
25/12/2021 09:00,28.4,31.8,10,79
25/12/2021 10:00,31.4,24.7,16,61
25/12/2021 11:00,33.9,20.3,17,56
25/12/2021 12:00,35.4,18.5,17,90
25/12/2021 13:00,36.6,16.9,18,117
25/12/2021 14:00,37.6,14.9,19,131
25/12/2021 15:00,38.0,14.2,17,176
25/12/2021 16:00,38.6,13.4,18,188
25/12/2021 17:00,38.6,13.1,17,195
25/12/2021 18:00,37.8,13.6,19,191
25/12/2021 19:00,37.0,14.3,16,185
25/12/2021 20:00,35.4,16.3,15,175
25/12/2021 21:00,32.8,19.9,14,175
25/12/2021 22:00,30.4,23.9,14,155
25/12/2021 23:00,28.7,27.7,15,152
26/12/2021 00:00,26.9,32.0,14,160
26/12/2021 01:00,25.2,35.4,15,190
